mem_no,ord_no,ord_dt
588,10595,11/02/2024
588,10596,15/03/2024
588,10597,15/03/2024
588,10598,09/02/2024
588,10599,06/03/2024
588,10600,01/02/2024
588,10601,02/03/2024
588,10602,01/02/2024
588,10603,14/01/2024
784,10604,17/02/2024
784,10605,11/01/2024
784,10606,11/01/2024
397,10607,11/01/2024
397,10608,14/01/2024
397,10609,26/02/2024
397,10610,13/02/2024
397,10611,10/02/2024
397,10612,21/02/2024
426,10613,10/01/2024
727,10614,08/01/2024
727,10615,05/03/2024
856,10616,24/01/2024
888,10617,14/01/2024
525,10618,28/02/2024
525,10619,24/02/2024
525,10620,08/01/2024
525,10621,26/02/2024
262,10622,18/01/2024
262,10623,07/01/2024
47,10624,01/01/2024
127,10625,28/01/2024
127,10626,31/01/2024
127,10627,07/02/2024
127,10628,10/02/2024
127,10629,27/01/2024
730,10630,10/02/2024
730,10631,23/02/2024
730,10632,28/01/2024
34,10633,29/01/2024
422,10634,26/01/2024
422,10635,30/01/2024
422,10636,09/01/2024
667,10637,06/02/2024
667,10638,11/01/2024
119,10639,24/01/2024
119,10640,18/03/2024
174,10641,18/01/2024
174,10642,18/01/2024
174,10643,18/01/2024
242,10644,23/01/2024
242,10645,29/01/2024
503,10646,10/01/2024
489,10647,16/01/2024
541,10648,10/02/2024
541,10649,13/01/2024
541,10650,03/02/2024
92,10651,28/01/2024
829,10652,28/01/2024
829,10653,26/01/2024
952,10654,18/01/2024
450,10655,05/01/2024
181,10656,25/01/2024
181,10657,02/01/2024
181,10658,09/01/2024
181,10659,02/01/2024
181,10660,19/02/2024
181,10661,24/01/2024
181,10662,10/02/2024
181,10663,02/01/2024
181,10664,13/01/2024
181,10665,25/02/2024
181,10666,24/01/2024
181,10667,02/01/2024
181,10668,11/01/2024
181,10669,29/01/2024
181,10670,14/01/2024
181,10671,11/01/2024
181,10672,20/01/2024
181,10673,08/01/2024
181,10674,05/03/2024
343,10675,27/01/2024
949,10676,13/03/2024
949,10677,20/01/2024
949,10678,13/03/2024
453,10679,14/01/2024
859,10680,28/02/2024
859,10681,31/01/2024
20,10682,20/01/2024
20,10683,15/02/2024
20,10684,14/01/2024
20,10685,24/03/2024
20,10686,30/01/2024
20,10687,12/02/2024
20,10688,19/02/2024
20,10689,09/01/2024
78,10690,30/03/2024
78,10691,28/01/2024
78,10692,12/03/2024
78,10693,06/01/2024
78,10694,30/03/2024
78,10695,19/03/2024
227,10696,18/01/2024
146,10697,01/01/2024
146,10698,12/01/2024
146,10699,10/02/2024
720,10700,15/01/2024
380,10701,31/01/2024
380,10702,31/01/2024
380,10703,24/01/2024
693,10704,01/01/2024
609,10705,08/01/2024
860,10706,02/01/2024
860,10707,02/01/2024
860,10708,07/01/2024
860,10709,03/01/2024
860,10710,03/01/2024
860,10711,30/01/2024
572,10712,26/01/2024
572,10713,29/01/2024
572,10714,27/02/2024
484,10715,02/01/2024
582,10716,31/01/2024
330,10717,22/01/2024
330,10718,23/01/2024
632,10719,26/01/2024
632,10720,29/01/2024
795,10721,13/02/2024
795,10722,31/01/2024
970,10723,29/01/2024
774,10724,12/01/2024
774,10725,12/02/2024
774,10726,25/01/2024
774,10727,11/03/2024
774,10728,12/02/2024
774,10729,23/03/2024
123,10730,28/01/2024
123,10731,01/01/2024
123,10732,01/01/2024
123,10733,25/02/2024
123,10734,28/01/2024
129,10735,19/02/2024
129,10736,15/01/2024
129,10737,21/01/2024
129,10738,23/01/2024
129,10739,13/01/2024
129,10740,26/02/2024
129,10741,17/03/2024
129,10742,13/01/2024
129,10743,26/03/2024
129,10744,13/03/2024
56,10745,22/02/2024
56,10746,09/03/2024
56,10747,24/03/2024
56,10748,19/01/2024
56,10749,20/01/2024
56,10750,02/02/2024
56,10751,27/01/2024
56,10752,15/01/2024
56,10753,02/02/2024
213,10754,12/03/2024
213,10755,07/01/2024
847,10756,14/01/2024
769,10757,21/01/2024
769,10758,11/02/2024
769,10759,22/03/2024
369,10760,08/01/2024
369,10761,27/02/2024
369,10762,09/01/2024
449,10763,17/01/2024
449,10764,24/03/2024
449,10765,11/01/2024
449,10766,16/01/2024
449,10767,23/02/2024
449,10768,25/02/2024
230,10769,22/01/2024
686,10770,11/03/2024
686,10771,16/02/2024
686,10772,08/02/2024
686,10773,12/02/2024
686,10774,28/01/2024
686,10775,20/03/2024
686,10776,29/03/2024
686,10777,09/03/2024
686,10778,05/03/2024
686,10779,27/01/2024
686,10780,23/01/2024
686,10781,15/02/2024
686,10782,20/01/2024
686,10783,10/02/2024
686,10784,21/01/2024
686,10785,13/02/2024
686,10786,07/03/2024
686,10787,03/02/2024
686,10788,01/03/2024
686,10789,26/02/2024
686,10790,13/03/2024
686,10791,07/02/2024
686,10792,20/01/2024
686,10793,20/01/2024
686,10794,15/03/2024
686,10795,08/02/2024
686,10796,19/03/2024
686,10797,07/03/2024
686,10798,07/02/2024
686,10799,12/03/2024
686,10800,19/02/2024
686,10801,18/02/2024
686,10802,30/03/2024
686,10803,07/03/2024
686,10804,27/01/2024
686,10805,26/03/2024
686,10806,14/03/2024
564,10807,31/03/2024
564,10808,04/02/2024
564,10809,11/03/2024
564,10810,23/03/2024
564,10811,25/03/2024
564,10812,30/01/2024
564,10813,12/01/2024
564,10814,24/03/2024
12,10815,30/01/2024
700,10816,22/02/2024
700,10817,28/01/2024
700,10818,27/01/2024
700,10819,23/01/2024
981,10820,14/01/2024
392,10821,31/01/2024
392,10822,18/01/2024
392,10823,18/01/2024
392,10824,19/03/2024
392,10825,27/01/2024
392,10826,04/02/2024
392,10827,26/03/2024
356,10828,23/01/2024
356,10829,25/03/2024
356,10830,07/02/2024
114,10831,12/01/2024
114,10832,29/01/2024
704,10833,29/01/2024
704,10834,05/02/2024
704,10835,11/02/2024
704,10836,26/03/2024
704,10837,18/02/2024
324,10838,13/01/2024
324,10839,20/01/2024
324,10840,22/03/2024
324,10841,08/03/2024
726,10842,11/01/2024
726,10843,19/01/2024
726,10844,07/02/2024
515,10845,24/01/2024
515,10846,01/01/2024
515,10847,29/01/2024
779,10848,28/01/2024
779,10849,01/03/2024
779,10850,21/02/2024
779,10851,02/03/2024
779,10852,25/03/2024
779,10853,26/03/2024
779,10854,27/01/2024
779,10855,25/03/2024
779,10856,29/03/2024
779,10857,10/01/2024
779,10858,28/01/2024
779,10859,27/01/2024
779,10860,01/01/2024
950,10861,06/03/2024
950,10862,08/01/2024
950,10863,06/03/2024
950,10864,01/02/2024
950,10865,06/02/2024
950,10866,23/01/2024
950,10867,09/03/2024
950,10868,01/01/2024
950,10869,28/01/2024
950,10870,20/01/2024
950,10871,02/02/2024
950,10872,01/01/2024
950,10873,13/02/2024
950,10874,08/01/2024
950,10875,12/01/2024
950,10876,10/03/2024
950,10877,12/01/2024
950,10878,15/01/2024
950,10879,04/01/2024
950,10880,04/02/2024
639,10881,13/02/2024
639,10882,02/01/2024
319,10883,28/03/2024
319,10884,12/03/2024
319,10885,14/01/2024
319,10886,28/01/2024
973,10887,14/01/2024
973,10888,26/02/2024
785,10889,05/02/2024
785,10890,15/02/2024
785,10891,05/03/2024
785,10892,25/03/2024
785,10893,18/02/2024
785,10894,05/03/2024
785,10895,11/01/2024
785,10896,31/03/2024
785,10897,20/01/2024
109,10898,14/03/2024
109,10899,12/02/2024
109,10900,03/03/2024
109,10901,04/03/2024
109,10902,12/01/2024
109,10903,11/02/2024
109,10904,09/02/2024
109,10905,14/01/2024
109,10906,16/02/2024
109,10907,01/03/2024
109,10908,24/03/2024
109,10909,23/01/2024
109,10910,14/01/2024
109,10911,16/01/2024
109,10912,24/02/2024
997,10913,07/01/2024
788,10914,01/03/2024
788,10915,09/01/2024
788,10916,18/03/2024
788,10917,28/02/2024
391,10918,23/01/2024
648,10919,21/03/2024
648,10920,19/03/2024
648,10921,11/02/2024
648,10922,28/01/2024
648,10923,17/02/2024
648,10924,15/01/2024
648,10925,30/01/2024
648,10926,12/03/2024
63,10927,26/02/2024
63,10928,07/01/2024
36,10929,30/01/2024
36,10930,06/02/2024
36,10931,01/03/2024
36,10932,23/03/2024
971,10933,11/01/2024
971,10934,15/01/2024
455,10935,05/02/2024
455,10936,05/02/2024
455,10937,23/03/2024
455,10938,25/03/2024
455,10939,09/01/2024
455,10940,09/02/2024
968,10941,28/01/2024
872,10942,01/01/2024
885,10943,08/01/2024
885,10944,12/01/2024
885,10945,06/01/2024
209,10946,26/03/2024
209,10947,13/01/2024
497,10948,10/01/2024
972,10949,24/01/2024
972,10950,24/02/2024
972,10951,19/01/2024
972,10952,13/01/2024
972,10953,08/02/2024
640,10954,11/02/2024
640,10955,23/01/2024
640,10956,27/03/2024
640,10957,19/03/2024
640,10958,02/01/2024
640,10959,22/03/2024
770,10960,23/01/2024
770,10961,22/01/2024
770,10962,02/02/2024
770,10963,23/01/2024
565,10964,26/02/2024
565,10965,06/01/2024
692,10966,25/02/2024
692,10967,15/01/2024
692,10968,14/03/2024
989,10969,13/01/2024
135,10970,27/01/2024
135,10971,23/02/2024
135,10972,07/01/2024
630,10973,04/03/2024
630,10974,07/01/2024
630,10975,19/01/2024
218,10976,08/01/2024
218,10977,01/01/2024
218,10978,11/02/2024
465,10979,18/02/2024
465,10980,31/01/2024
661,10981,13/01/2024
317,10982,21/02/2024
317,10983,26/01/2024
317,10984,26/02/2024
71,10985,04/03/2024
71,10986,20/03/2024
71,10987,25/02/2024
71,10988,06/01/2024
71,10989,18/03/2024
71,10990,06/01/2024
172,10991,27/03/2024
172,10992,30/01/2024
172,10993,31/03/2024
183,10994,19/01/2024
803,10995,04/01/2024
803,10996,04/01/2024
441,10997,15/01/2024
891,10998,05/01/2024
427,10999,01/01/2024
427,11000,20/01/2024
427,11001,20/01/2024
866,11002,29/01/2024
715,11003,03/02/2024
715,11004,26/02/2024
715,11005,16/03/2024
715,11006,12/01/2024
715,11007,19/02/2024
615,11008,17/01/2024
615,11009,07/01/2024
615,11010,17/01/2024
615,11011,18/01/2024
615,11012,16/02/2024
14,11013,19/02/2024
14,11014,18/02/2024
14,11015,25/03/2024
14,11016,14/01/2024
14,11017,18/02/2024
750,11018,10/03/2024
750,11019,11/01/2024
193,11020,23/02/2024
193,11021,04/03/2024
193,11022,27/01/2024
193,11023,27/01/2024
877,11024,19/02/2024
877,11025,10/02/2024
877,11026,10/03/2024
877,11027,02/01/2024
877,11028,14/03/2024
877,11029,19/03/2024
877,11030,11/02/2024
877,11031,15/03/2024
877,11032,31/03/2024
877,11033,27/01/2024
877,11034,07/01/2024
67,11035,14/01/2024
105,11036,02/01/2024
634,11037,07/01/2024
363,11038,27/02/2024
363,11039,03/03/2024
363,11040,09/01/2024
83,11041,09/01/2024
257,11042,27/03/2024
257,11043,09/03/2024
257,11044,21/03/2024
257,11045,27/02/2024
257,11046,30/01/2024
257,11047,08/01/2024
257,11048,17/01/2024
823,11049,30/01/2024
233,11050,09/01/2024
249,11051,13/01/2024
180,11052,19/01/2024
180,11053,13/02/2024
566,11054,17/01/2024
566,11055,23/01/2024
566,11056,23/01/2024
383,11057,06/01/2024
383,11058,05/01/2024
26,11059,25/02/2024
26,11060,28/01/2024
26,11061,10/02/2024
26,11062,05/02/2024
26,11063,24/03/2024
372,11064,22/01/2024
372,11065,10/02/2024
372,11066,17/03/2024
372,11067,22/03/2024
372,11068,18/02/2024
372,11069,25/03/2024
372,11070,23/03/2024
372,11071,22/01/2024
372,11072,09/03/2024
372,11073,21/02/2024
372,11074,09/01/2024
372,11075,06/01/2024
372,11076,18/03/2024
372,11077,09/02/2024
372,11078,20/03/2024
372,11079,21/03/2024
372,11080,21/02/2024
372,11081,12/03/2024
372,11082,28/01/2024
372,11083,06/01/2024
372,11084,04/01/2024
372,11085,13/01/2024
386,11086,10/01/2024
237,11087,25/01/2024
237,11088,25/01/2024
237,11089,07/02/2024
237,11090,02/02/2024
237,11091,07/02/2024
237,11092,16/02/2024
237,11093,25/02/2024
237,11094,19/02/2024
237,11095,01/02/2024
237,11096,17/02/2024
237,11097,06/02/2024
237,11098,04/02/2024
237,11099,09/02/2024
237,11100,18/02/2024
237,11101,06/01/2024
237,11102,16/02/2024
237,11103,27/01/2024
237,11104,27/03/2024
237,11105,24/01/2024
237,11106,26/01/2024
237,11107,09/02/2024
237,11108,02/02/2024
237,11109,13/02/2024
237,11110,11/02/2024
237,11111,12/01/2024
237,11112,10/02/2024
237,11113,29/01/2024
237,11114,29/01/2024
237,11115,29/01/2024
237,11116,05/03/2024
237,11117,17/02/2024
237,11118,23/02/2024
237,11119,18/01/2024
237,11120,04/02/2024
237,11121,22/01/2024
237,11122,19/01/2024
237,11123,25/02/2024
237,11124,07/03/2024
527,11125,17/03/2024
527,11126,25/01/2024
527,11127,29/01/2024
527,11128,07/01/2024
527,11129,16/01/2024
499,11130,09/01/2024
277,11131,13/01/2024
277,11132,13/01/2024
613,11133,01/02/2024
613,11134,23/01/2024
613,11135,20/03/2024
223,11136,15/02/2024
223,11137,26/03/2024
223,11138,15/01/2024
223,11139,15/02/2024
300,11140,04/02/2024
300,11141,16/02/2024
300,11142,14/01/2024
596,11143,28/01/2024
594,11144,02/01/2024
594,11145,28/02/2024
594,11146,03/03/2024
194,11147,10/02/2024
194,11148,13/01/2024
512,11149,28/01/2024
512,11150,21/02/2024
512,11151,24/02/2024
512,11152,02/02/2024
512,11153,19/03/2024
512,11154,17/03/2024
512,11155,05/01/2024
512,11156,23/02/2024
512,11157,13/02/2024
512,11158,28/02/2024
512,11159,17/01/2024
512,11160,27/01/2024
512,11161,22/02/2024
512,11162,10/02/2024
512,11163,21/02/2024
